time,elpsec,O2Hb_1,O2Hb_2,Comment,A kind of odor,Timing
16:11,0,0,0,,,
16:11,0.16,0.16,-0.01,,,
16:11,0.33,0.14,-0.08,,,
16:11,0.49,0.1,-0.27,,,
16:11,0.66,0.38,-0.09,,,
16:11,0.82,0.31,-0.16,,,
16:11,0.99,0.21,-0.28,,,
16:11,1.15,0.43,-0.05,,,
16:11,1.32,0.36,-0.18,,,
16:11,1.48,0.27,-0.37,,,
16:11,1.65,0.44,-0.22,,,
16:11,1.81,0.39,-0.28,,,
16:11,1.98,0.4,-0.24,,,
16:11,2.14,0.52,-0.08,,,
16:11,2.31,0.47,-0.13,,,
16:11,2.47,0.65,0.08,,,
16:11,2.64,0.8,0.2,,,
16:11,2.8,0.73,0.12,,,
16:11,2.97,0.95,0.33,,,
16:11,3.13,1,0.41,,,
16:11,3.3,0.94,0.34,,,
16:11,3.46,1.17,0.64,,,
16:11,3.63,1.1,0.57,,,
16:11,3.79,1.01,0.41,,,
16:11,3.96,1.11,0.52,,,
16:11,4.12,1.07,0.42,,,
16:11,4.29,0.89,0.49,,,
16:11,4.45,0.92,0.72,,,
16:11,4.62,0.61,0.61,,,
16:11,4.78,0.3,0.28,,,
16:11,4.95,0.35,0.3,,,
16:11,5.11,0.14,0,,,
16:11,5.28,-0.12,-0.15,,,
16:11,5.44,-0.07,0.01,,,
16:11,5.61,-0.38,-0.23,,,
16:11,5.77,-0.46,-0.23,,,
16:11,5.94,-0.29,0.1,,,
16:11,6.1,-0.38,0.01,,,
16:11,6.27,-0.2,0.18,,,
16:11,6.43,-0.09,0.32,,,
16:11,6.6,-0.27,0.08,,,
16:11,6.76,-0.15,0.24,,,
16:11,6.93,-0.18,0.22,,,
16:11,7.09,-0.31,0.15,,,
16:11,7.26,-0.09,0.45,,,
16:11,7.42,-0.21,0.31,,,
16:11,7.59,-0.29,0.12,,,
16:11,7.75,-0.19,0.31,,,
16:11,7.92,-0.29,0.14,,,
16:11,8.08,-0.39,0.05,,,
16:11,8.25,-0.22,0.27,,,
16:11,8.41,-0.35,0.15,,,
16:12,8.58,-0.44,0.03,,,
16:12,8.74,-0.14,0.24,,,
16:12,8.91,-0.33,0.1,,,
16:12,9.07,-0.42,-0.01,,,
16:12,9.24,-0.23,0.17,,,
16:12,9.4,-0.37,0.05,,,
16:12,9.57,-0.51,-0.05,,,
16:12,9.73,-0.23,0.2,,,
16:12,9.9,-0.25,0.06,,,
16:12,10.06,-0.48,-0.07,,,
16:12,10.23,-0.22,0.16,,,
16:12,10.39,-0.27,0.13,,,
16:12,10.56,-0.46,-0.07,,,
16:12,10.72,-0.24,0.1,,,
16:12,10.89,-0.25,0.13,,,
16:12,11.05,-0.41,-0.07,,,
16:12,11.22,-0.37,-0.01,,,
16:12,11.38,-0.19,0.13,,,
16:12,11.55,-0.33,0.01,,,
16:12,11.71,-0.3,0.04,,,
16:12,11.88,-0.12,0.13,,,
16:12,12.04,-0.27,0.03,,,
16:12,12.21,-0.32,-0.03,,,
16:12,12.37,-0.15,0.18,,,
16:12,12.54,-0.21,0.08,,,
16:12,12.7,-0.33,-0.03,,,
16:12,12.87,-0.1,0.25,,,
16:12,13.03,-0.18,0.11,,,
16:12,13.2,-0.36,-0.05,,,
16:12,13.36,-0.08,0.18,,,
16:12,13.53,-0.19,0.13,,,
16:12,13.69,-0.3,-0.05,,,
16:12,13.86,-0.07,0.23,,,
16:12,14.02,-0.12,0.15,,,
16:12,14.19,-0.25,-0.01,,,
16:12,14.35,0.04,0.22,,,
16:12,14.52,-0.04,0.18,,,
16:12,14.68,-0.27,0.03,,,
16:12,14.85,0.06,0.27,,,
16:12,15.01,0.04,0.29,,,
16:12,15.18,-0.14,0.16,,,
16:12,15.34,0.19,0.37,,,
16:12,15.51,0.13,0.35,,,
16:12,15.67,-0.09,0.23,,,
16:12,15.84,0.21,0.49,,,
16:12,16,0.14,0.42,,,
16:12,16.17,-0.03,0.25,,,
16:12,16.33,0.27,0.45,,,
16:12,16.5,0.11,0.28,,,
16:12,16.66,-0.03,0.24,,,
16:12,16.83,0.27,0.47,,,
16:12,16.99,0.02,0.35,,,
16:12,17.16,0.13,0.38,,,
16:12,17.32,0.33,0.52,,,
16:12,17.49,0.1,0.36,,,
16:12,17.65,0.4,0.54,,,
16:12,17.82,0.46,0.63,,,
16:12,17.98,0.29,0.52,,,
16:12,18.15,0.54,0.74,,,
16:12,18.31,0.45,0.62,,,
16:12,18.48,0.32,0.5,,,
16:12,18.64,0.57,0.7,,,
16:12,18.81,0.43,0.59,,,
16:12,18.97,0.43,0.59,,,
16:12,19.14,0.6,0.78,,,
16:12,19.3,0.37,0.67,,,
16:12,19.47,0.58,0.8,,,
16:12,19.63,0.63,0.89,,,
16:12,19.8,0.46,0.73,,,
16:12,19.96,0.67,0.97,,,
16:12,20.13,0.64,0.96,,,
16:12,20.29,0.6,0.92,,,
16:12,20.46,0.73,1.11,,,
16:12,20.62,0.65,0.95,,,
16:12,20.79,0.71,1.03,,,
16:12,20.95,0.76,1.09,,,
16:12,21.12,0.59,0.89,,,
16:12,21.28,0.74,1.02,,,
16:12,21.45,0.75,1.02,,,
16:12,21.61,0.49,0.87,,,
16:12,21.78,0.7,1.03,,,
16:12,21.94,0.66,0.98,,,
16:12,22.11,0.43,0.78,,,
16:12,22.27,0.69,0.95,,,
16:12,22.44,0.55,0.84,,,
16:12,22.6,0.32,0.62,,,
16:12,22.77,0.58,0.91,,,
16:12,22.93,0.51,0.75,,,
16:12,23.1,0.38,0.65,,,
16:12,23.26,0.63,0.83,,,
16:12,23.43,0.4,0.67,,,
16:12,23.59,0.27,0.57,,,
16:12,23.76,0.51,0.82,,,
16:12,23.92,0.24,0.65,,,
16:12,24.09,0.29,0.56,,,
16:12,24.25,0.53,0.8,,,
16:12,24.42,0.32,0.68,,,
16:12,24.58,0.39,0.75,,,
16:12,24.75,0.61,0.92,,,
16:12,24.91,0.42,0.66,,,
16:12,25.08,0.49,0.74,,,
16:12,25.24,0.56,0.76,,,
16:12,25.41,0.38,0.53,,,
16:12,25.57,0.55,0.68,,,
16:12,25.74,0.52,0.56,,,
16:12,25.9,0.36,0.33,,,
16:12,26.07,0.47,0.46,,,
16:12,26.23,0.38,0.34,,,
16:12,26.4,0.22,0.12,,,
16:12,26.56,0.42,0.33,,,
16:12,26.73,0.36,0.31,,,
16:12,26.89,0.18,0.14,,,
16:12,27.06,0.39,0.42,,,
16:12,27.22,0.32,0.32,,,
16:12,27.39,0.17,0.17,,,
16:12,27.55,0.39,0.52,,,
16:12,27.72,0.31,0.47,,,
16:12,27.88,0.18,0.28,,,
16:12,28.05,0.37,0.59,,,
16:12,28.21,0.28,0.45,,,
